S1;S2;S3;Millis
11.69;6.52;6.04;190427
11.97;6.40;6.22;190631
11.97;6.59;5.34;190835
14.02;9.15;6.87;191039
14.33;8.46;7.47;191243
12.42;8.02;6.48;191448
10.63;6.79;6.11;191652
10.02;6.90;4.92;191856
10.27;6.52;4.76;192060
9.05;5.79;4.61;192264
8.37;5.61;4.70;192468
9.29;5.27;4.85;192672
9.38;5.61;4.55;192876
10.63;5.61;4.70;193080
10.37;5.27;5.01;193284
9.38;4.48;3.97;193488
11.15;4.34;4.11;193692
11.58;4.05;5.01;193896
9.77;4.48;6.71;194100
9.63;3.78;5.89;194305
9.29;3.91;5.21;194509
10.12;2.95;5.54;194713
9.05;2.95;5.04;194917
7.93;2.67;4.88;195121
8.24;2.67;4.67;195325
8.02;2.26;3.94;195529
7.89;2.10;3.67;195733
9.72;2.01;3.17;195937
10.12;1.87;2.33;196142
9.38;2.80;2.14;196346
9.87;3.65;3.21;196550
10.63;3.72;3.39;196754
12.14;4.14;2.95;196958
11.86;3.59;3.07;197163
11.42;3.72;3.19;197367
13.60;3.59;2.41;197571
13.60;4.00;2.95;197775
14.40;4.95;3.02;197979
14.40;5.55;3.31;198183
15.68;6.56;4.25;198387
12.03;5.82;3.39;198591
10.94;6.18;3.97;198795
11.47;6.18;4.55;199000
11.47;6.11;4.25;199204
12.14;6.87;4.95;199408
12.59;6.67;4.05;199612
12.03;7.06;4.70;199816
11.91;7.39;5.18;200020
11.37;7.39;5.96;200224
11.64;7.10;6.14;200428
12.19;7.72;5.72;200632
13.06;7.72;6.63;200836
12.65;7.85;6.83;201040
12.36;8.28;6.25;201244
10.99;8.50;6.44;201448
10.99;9.34;8.87;201652
13.06;9.10;7.76;201857
14.27;9.58;7.34;202061
13.06;9.34;7.63;202265
13.36;8.41;7.63;202469
13.36;7.34;6.63;202673
13.18;7.02;5.72;202877
13.78;6.83;6.44;203081
13.48;6.63;5.54;203285
13.18;6.14;5.96;203489
15.68;6.33;5.44;203694
16.35;7.93;5.34;203898
16.56;8.37;6.98;204102
14.58;7.72;6.04;204306
12.36;6.90;5.86;204510
10.07;5.79;6.40;204715
9.82;5.44;5.86;204919
10.83;3.78;5.34;205123
11.37;4.64;5.44;205327
10.83;4.05;5.96;205531
10.32;4.19;6.52;205735
8.73;3.91;6.83;205939
8.96;3.56;5.72;206143
10.52;3.07;5.37;206347
9.67;3.12;4.88;206552
10.17;2.67;4.13;206756
10.17;2.26;3.86;206960
9.67;2.82;3.51;207164
9.92;3.41;3.91;207368
10.68;3.67;3.91;207572
10.42;4.52;3.51;207776
10.17;4.82;3.39;207980
10.17;4.76;3.51;208184
9.92;4.92;3.51;208388
10.52;5.08;3.78;208592
9.77;4.92;3.64;208796
9.53;4.16;3.44;209000
6.90;2.56;1.85;209204
7.39;2.93;2.12;209409
8.91;2.50;2.12;209613
9.15;2.86;2.12;209817
9.97;3.46;2.07;210021
10.63;3.46;2.01;210225
10.89;3.52;2.05;210429
10.73;3.78;2.44;210633
11.26;4.79;2.48;210837
10.89;4.95;2.32;211041
10.37;5.05;2.84;211246
11.42;5.05;3.07;211450
10.89;4.43;3.07;211654
11.15;3.91;2.84;211858
10.63;4.79;2.26;212062
13.42;6.33;4.17;212267
12.83;6.33;3.24;212471
11.69;5.97;3.49;212675
11.69;6.52;3.62;212879
11.81;6.04;3.95;213083
10.73;6.41;4.37;213287
10.43;6.60;4.37;213491
10.68;6.04;4.37;213695
10.68;6.12;3.81;213899
10.43;6.12;3.87;214104
10.17;6.30;3.92;214308
10.17;6.12;4.20;214512
9.34;5.41;3.79;214716
9.68;5.51;3.45;214920
9.92;5.35;3.20;215124
10.43;5.51;3.27;215328
10.17;5.69;3.65;215532
9.92;6.15;3.65;215736
10.43;6.15;3.15;215940
10.17;5.97;3.03;216144
8.73;5.79;3.79;216348
8.07;5.45;3.73;216552
9.68;5.28;3.60;216756
9.92;5.45;3.60;216961
10.94;5.62;4.14;217165
11.75;5.86;3.92;217369
12.31;6.41;4.20;217573
12.48;6.99;4.35;217777
11.10;6.91;4.96;217981
10.32;7.11;5.12;218185
10.07;6.33;5.29;218389
10.47;5.62;4.74;218593
10.99;6.15;4.90;218798
10.22;6.52;5.22;219002
9.58;6.44;4.99;219206
10.58;6.64;4.83;219410
8.87;4.58;3.81;219614
9.82;5.28;3.62;219819
9.72;5.45;3.75;220023
10.22;5.28;3.55;220227
9.97;5.28;4.23;220431
10.47;5.62;3.55;220635
11.69;6.08;3.89;220839
10.89;6.44;4.77;221043
10.52;6.00;4.46;221247
10.02;5.82;4.46;221451
9.05;5.65;4.40;221656
9.53;5.31;4.11;221860
9.29;5.65;3.97;222064
9.29;5.48;3.91;222268
9.53;5.48;4.11;222472
11.58;6.95;5.69;222676
12.14;6.95;4.79;222880
11.58;7.14;4.95;223084
11.58;7.35;5.02;223288
11.05;7.35;5.51;223492
10.52;6.95;5.62;223696
11.15;6.95;5.35;223900
10.89;6.75;4.70;224104
11.26;7.03;5.08;224308
10.47;6.75;4.37;224513
10.58;6.64;5.15;224717
10.68;5.55;4.52;224921
10.17;5.62;4.52;225125
10.13;6.22;3.73;225329
9.15;5.76;4.74;225533
8.24;5.58;4.50;225737
7.90;5.66;3.58;225941
8.33;5.38;4.04;226145
8.56;5.06;3.50;226350
8.33;4.90;3.18;226554
7.81;4.44;2.41;226758
7.69;4.35;3.01;226962
7.48;4.50;2.90;227166
6.87;3.60;2.47;227371
6.68;3.47;2.17;227575
6.38;3.87;1.93;227779
5.90;3.60;2.02;227983
6.16;3.60;1.68;228187
6.92;3.79;2.36;228391
7.53;3.03;1.85;228595
7.95;3.45;1.93;228799
8.30;3.32;2.31;229003
8.30;3.25;1.53;229208
7.65;3.25;1.93;229412
7.65;2.83;1.41;229616
7.56;2.55;1.02;229820
7.77;2.88;1.08;230024
5.73;1.72;0.96;230228
6.08;2.35;1.17;230432
5.80;2.45;1.41;230636
6.27;2.60;1.30;230840
6.45;2.60;1.27;231044
5.55;2.29;1.41;231248
5.55;2.29;1.10;231452
6.27;2.19;1.30;231656
6.45;2.39;1.23;231860
6.57;2.29;1.30;232065
6.38;2.05;1.67;232269
6.01;1.50;1.44;232473
6.01;1.91;1.17;232677
6.38;1.74;1.10;232881
6.57;2.09;1.07;233085
8.08;2.58;1.87;233289
7.99;2.91;2.39;233493
7.04;2.69;2.01;233697
7.04;2.37;2.39;233902
6.72;2.91;2.49;234106
6.61;2.69;1.83;234310
6.05;3.39;1.51;234514
5.60;3.26;1.17;234718
5.77;3.14;1.13;234923
5.00;2.97;1.33;235127
4.45;3.14;1.55;235331
4.45;2.80;1.70;235535
4.66;2.32;1.62;235739
4.57;2.32;1.55;235943
4.73;2.67;1.43;236147
5.04;2.30;1.12;236351
4.88;2.30;0.69;236555
4.64;2.50;0.81;236760
4.79;2.44;0.97;236964
4.95;2.34;1.31;237168
4.95;2.25;1.45;237372
4.95;2.30;1.31;237576
5.79;2.44;1.31;237780
5.79;2.55;0.70;237984
5.11;2.99;0.80;238188
5.44;3.06;1.41;238392
5.44;2.94;1.48;238596
5.44;2.94;1.71;238800
5.11;2.94;1.60;239004
4.79;2.72;1.68;239208
4.79;2.72;1.76;239412
4.64;2.56;1.76;239617
4.64;2.46;1.68;239821
4.34;2.26;1.84;240025
3.64;2.16;1.76;240229
3.51;2.16;1.60;240433
2.48;1.64;0.91;240637
2.28;1.57;1.02;240841
2.18;1.42;1.02;241045
1.69;1.21;1.08;241249
1.77;1.08;0.97;241454
2.56;0.97;0.66;241658
1.98;0.86;0.50;241862
2.21;0.91;0.43;242066
2.44;0.88;0.36;242270
2.94;0.83;0.50;242475
3.42;0.90;0.50;242679
3.81;0.90;0.50;242883
3.68;1.10;0.50;243087
3.68;0.82;0.78;243291
2.89;0.93;0.78;243495
3.81;1.37;0.99;243699
3.68;1.37;0.75;243903
3.35;1.59;1.08;244107
4.15;1.30;1.11;244312
4.74;1.67;1.11;244516
4.01;2.29;1.93;244720
4.44;2.39;1.93;244924
4.74;2.81;2.15;245128
5.73;2.81;2.25;245332
5.22;2.86;2.25;245536
6.09;2.53;2.06;245740
7.57;2.70;2.34;245944
7.99;2.14;2.87;246148
8.12;2.14;3.68;246352
8.56;2.14;3.62;246556
8.24;2.75;3.76;246760
8.46;2.29;3.97;246964
8.69;2.19;3.26;247169
8.37;1.67;3.02;247373
8.15;1.83;3.02;247577
8.06;1.67;2.91;247781
8.28;1.75;3.33;247985
7.75;1.54;3.59;248189
7.54;1.92;3.66;248393
6.74;2.01;3.80;248597
7.14;1.83;3.74;248801
6.94;1.83;3.88;249006
6.94;1.59;3.30;249210
7.67;1.67;3.18;249414
6.85;1.75;3.18;249618
7.14;1.67;2.83;249822
7.34;1.92;2.83;250027
7.22;1.83;2.79;250231
6.25;2.29;2.47;250435
5.79;2.81;2.90;250639
6.15;2.92;2.90;250843
5.79;2.87;2.21;251047
4.64;2.01;1.68;251251
4.05;2.19;1.68;251455
3.91;2.29;1.56;251659
3.70;2.19;1.41;251864
3.64;1.92;1.67;252068
3.57;1.83;1.51;252272
3.44;1.87;1.47;252476
3.31;1.75;1.47;252680
3.31;1.67;1.26;252884
3.14;1.67;1.40;253088
3.39;1.51;1.13;253292
3.02;1.51;0.95;253496
3.51;1.51;0.84;253700
4.05;1.67;1.01;253904
3.72;1.55;1.19;254108
5.04;1.97;1.47;254312
5.37;1.97;1.62;254516
5.64;1.97;1.40;254721
5.14;1.68;1.13;254925
3.93;1.38;1.07;255129
3.80;1.11;0.95;255333
4.36;1.11;1.01;255537
3.53;1.17;0.65;255741
3.66;1.38;0.74;255945
3.16;1.05;0.57;256149
