Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,epsilon,k,nut,p,vtkValidPointMask
736,5.3329,0.500003,0.23896,5.36162,9.9205,0.00611106,-0.0165923,9.92052,7.37593,0.837313,0.337282,0.0122284,1.2898,1
737,5.34293,0.500003,0.238949,5.37159,9.9216,0.00605142,-0.0163345,9.92161,7.38596,0.830983,0.335402,0.0121846,1.2839,1
738,5.35295,0.500003,0.238938,5.38156,9.92264,0.00599452,-0.0160966,9.92266,7.39598,0.824804,0.333552,0.0121409,1.2781,1
739,5.36297,0.500003,0.238927,5.39152,9.92367,0.00593796,-0.0158547,9.92369,7.406,0.818686,0.33172,0.0120976,1.27232,1
740,5.37299,0.500003,0.238916,5.40149,9.9247,0.0058814,-0.0156128,9.92472,7.41602,0.812568,0.329887,0.0120543,1.26653,1
741,5.38301,0.500003,0.238905,5.41146,9.92574,0.0058248,-0.0153767,9.92575,7.42604,0.806408,0.32804,0.0120107,1.26074,1
742,5.39303,0.500003,0.238894,5.42143,9.92671,0.00577096,-0.0151499,9.92672,7.43606,0.80049,0.326251,0.011968,1.25506,1
743,5.40306,0.500003,0.238882,5.4314,9.92768,0.00571712,-0.0149231,9.92769,7.44609,0.794572,0.324462,0.0119253,1.24938,1
744,5.41308,0.500003,0.238871,5.44137,9.92865,0.00566328,-0.0146963,9.92866,7.45611,0.788654,0.322672,0.0118826,1.2437,1
745,5.4231,0.500003,0.23886,5.45134,9.92961,0.00560966,-0.0144766,9.92963,7.46613,0.782713,0.320874,0.0118395,1.23802,1
746,5.43312,0.500003,0.238849,5.46131,9.93052,0.00555823,-0.0142638,9.93054,7.47615,0.776988,0.319127,0.0117974,1.23244,1
747,5.44314,0.500003,0.238838,5.47127,9.93144,0.0055068,-0.0140511,9.93145,7.48617,0.771262,0.31738,0.0117553,1.22685,1
748,5.45316,0.500003,0.238827,5.48125,9.93235,0.00545538,-0.0138383,9.93236,7.49619,0.765537,0.315634,0.0117131,1.22126,1
749,5.46319,0.500003,0.238816,5.49121,9.93325,0.00540435,-0.0136337,9.93326,7.50622,0.759807,0.313882,0.0116707,1.21568,1
750,5.47321,0.500003,0.238805,5.50118,9.93411,0.00535505,-0.013434,9.93412,7.51624,0.754267,0.312176,0.0116291,1.21017,1
751,5.48323,0.500003,0.238793,5.51115,9.93497,0.00530575,-0.0132343,9.93498,7.52626,0.748727,0.310471,0.0115875,1.20466,1
752,5.49325,0.500003,0.238782,5.52113,9.93583,0.00525645,-0.0130346,9.93584,7.53628,0.743187,0.308765,0.011546,1.19915,1
753,5.50327,0.500003,0.238771,5.5311,9.93667,0.00520769,-0.012844,9.93668,7.5463,0.737659,0.307058,0.0115042,1.19365,1
754,5.51329,0.500003,0.23876,5.54107,9.93748,0.00516025,-0.0126564,9.93749,7.55632,0.732297,0.305393,0.0114631,1.18821,1
755,5.52332,0.500003,0.238749,5.55104,9.93829,0.00511281,-0.0124689,9.9383,7.56635,0.726935,0.303727,0.0114221,1.18277,1
756,5.53334,0.500003,0.238738,5.56101,9.93909,0.00506538,-0.0122814,9.9391,7.57637,0.721573,0.302062,0.011381,1.17732,1
757,5.54336,0.500003,0.238727,5.57098,9.93988,0.00501857,-0.0121036,9.93989,7.58639,0.716239,0.300398,0.0113398,1.1719,1
758,5.55338,0.500003,0.238716,5.58095,9.94064,0.00497276,-0.0119274,9.94065,7.59641,0.711048,0.298772,0.0112993,1.16651,1
759,5.5634,0.500003,0.238704,5.59092,9.9414,0.00492695,-0.0117513,9.94141,7.60643,0.705857,0.297145,0.0112588,1.16113,1
760,5.57342,0.500003,0.238693,5.6009,9.94216,0.00488115,-0.0115751,9.94217,7.61645,0.700667,0.295519,0.0112183,1.15574,1
761,5.58345,0.500003,0.238682,5.61087,9.9429,0.00483603,-0.0114092,9.94291,7.62648,0.695519,0.293898,0.0111777,1.15037,1
762,5.59347,0.500003,0.238671,5.62084,9.94362,0.00479165,-0.0112436,9.94362,7.6365,0.690493,0.292309,0.0111378,1.14503,1
763,5.60349,0.500003,0.23866,5.63081,9.94433,0.00474726,-0.011078,9.94434,7.64652,0.685467,0.29072,0.0110978,1.13969,1
764,5.61351,0.500003,0.238649,5.64079,9.94504,0.00470288,-0.0109124,9.94505,7.65654,0.680442,0.289132,0.0110578,1.13435,1
765,5.62353,0.500003,0.238638,5.65076,9.94574,0.00465921,-0.0107575,9.94574,7.66656,0.675472,0.287552,0.0110178,1.12902,1
766,5.63355,0.500003,0.238626,5.66073,9.94641,0.00461606,-0.0106017,9.94642,7.67658,0.670605,0.286,0.0109784,1.12372,1
767,5.64358,0.500003,0.238615,5.6707,9.94708,0.00457291,-0.010446,9.94709,7.68661,0.665738,0.284448,0.0109389,1.11841,1
